Copied top 20 pairs from results.txt
Rank	ID	SizeParam	AcceptRate	PredAccept
1	12	100	75.0%	76.0%
2	14	150	75.0%	73.9%
3	17	400	62.5%	86.0%
4	16	300	62.5%	81.3%
5	13	120	62.5%	79.7%
6	11	90	62.5%	70.7%
7	20	1000	50.0%	92.5%
8	19	800	50.0%	87.5%
9	15	200	50.0%	79.4%
10	9	70	50.0%	74.2%
11	7	50	50.0%	62.0%
12	6	40	50.0%	59.1%
13	18	500	37.5%	81.8%
14	8	60	37.5%	76.9%
15	10	80	37.5%	76.0%
16	5	30	37.5%	35.4%
17	4	25	37.5%	21.8%
18	3	20	12.5%	7.7%
19	2	15	0.0%	4.8%
20	1	10	0.0%	0.1%
