scenario,metric,mean,ci95_low,ci95_high
Coordinated_NoEmergency,delay_through_s,96.27004436968244,84.39505316473594,108.14503557462893
Coordinated_NoEmergency,delay_we_s,21.464145081104398,21.09108718470477,21.837202977504028
Coordinated_NoEmergency,avg_q_A_NS,21.2860833096541,18.23882602165168,24.33334059765652
Coordinated_NoEmergency,max_q_A_NS,56.6,50.05230910931189,63.14769089068811
Coordinated_NoEmergency,avg_q_B_NS,2.136759320626399,2.0052385707260343,2.2682800705267634
Coordinated_NoEmergency,max_q_B_NS,13.75,12.471247729847155,15.028752270152845
Coordinated_NoEmergency,avg_q_A_WE,2.398301389584432,2.3069414502825234,2.4896613288863403
Coordinated_NoEmergency,max_q_A_WE,13.3,12.225522501521395,14.374477498478607
Coordinated_NoEmergency,avg_q_B_WE,2.3901265975058203,2.3289327365223684,2.4513204584892723
Coordinated_NoEmergency,max_q_B_WE,12.9,11.85606453113332,13.94393546886668
Coordinated_NoEmergency,throughput_north_vph,495.94285714285706,487.6646210734367,504.2210932122774
Coordinated_NoEmergency,avg_link_occupancy,4.25141994802446,4.196187318618906,4.306652577430015
Coordinated_NoEmergency,blocking_frequency,0.0,0.0,0.0
Coordinated_NoEmergency,preemption_count,0.0,0.0,0.0
Coordinated_NoEmergency,recovery_time_s,0.0,0.0,0.0
Coordinated_WithEmergency,delay_through_s,70.207281366921,61.78524698026363,78.62931575357837
Coordinated_WithEmergency,delay_we_s,22.571196922160347,22.216023411868886,22.926370432451808
Coordinated_WithEmergency,avg_q_A_NS,13.248706390778612,11.186254774223498,15.311158007333725
Coordinated_WithEmergency,max_q_A_NS,41.9,36.34553406802475,47.45446593197525
Coordinated_WithEmergency,avg_q_B_NS,3.1716301599057144,2.9245974650708515,3.4186628547405773
Coordinated_WithEmergency,max_q_B_NS,18.9,17.818021694934885,19.981978305065113
Coordinated_WithEmergency,avg_q_A_WE,2.582495585352331,2.487286981766453,2.6777041889382085
Coordinated_WithEmergency,max_q_A_WE,14.1,13.28439999483751,14.915600005162489
Coordinated_WithEmergency,avg_q_B_WE,2.479755241695215,2.3920326754146592,2.5674778079757705
Coordinated_WithEmergency,max_q_B_WE,12.75,12.01285401003172,13.48714598996828
Coordinated_WithEmergency,throughput_north_vph,501.7714285714286,493.45222132174683,510.09063582111037
Coordinated_WithEmergency,avg_link_occupancy,4.255373837641088,4.193830826133473,4.316916849148702
Coordinated_WithEmergency,blocking_frequency,0.0,0.0,0.0
Coordinated_WithEmergency,preemption_count,53.15,50.210773786037876,56.08922621396212
Coordinated_WithEmergency,recovery_time_s,15.802264171834821,15.063901205874645,16.540627137794996
Uncoordinated_NoEmergency,delay_through_s,121.81188082304479,102.57593249078056,141.04782915530902
Uncoordinated_NoEmergency,delay_we_s,21.735771024976973,21.37844638075013,22.093095669203816
Uncoordinated_NoEmergency,avg_q_A_NS,24.34481581399089,19.484982666576716,29.204648961405066
Uncoordinated_NoEmergency,max_q_A_NS,62.1,53.224697354307764,70.97530264569224
Uncoordinated_NoEmergency,avg_q_B_NS,4.614999350259513,4.431178345783441,4.798820354735585
Uncoordinated_NoEmergency,max_q_B_NS,18.9,17.818021694934885,19.981978305065113
Uncoordinated_NoEmergency,avg_q_A_WE,2.403450326816741,2.315761917803443,2.491138735830039
Uncoordinated_NoEmergency,max_q_A_WE,12.6,11.77822579615489,13.421774203845109
Uncoordinated_NoEmergency,avg_q_B_WE,2.4451123396342913,2.358057979309555,2.5321666999590278
Uncoordinated_NoEmergency,max_q_B_WE,12.8,12.124020554656937,13.475979445343064
Uncoordinated_NoEmergency,throughput_north_vph,493.91428571428577,487.92724595722456,499.901325471347
Uncoordinated_NoEmergency,avg_link_occupancy,4.2984076646898055,4.235099168135449,4.361716161244162
Uncoordinated_NoEmergency,blocking_frequency,0.0,0.0,0.0
Uncoordinated_NoEmergency,preemption_count,0.0,0.0,0.0
Uncoordinated_NoEmergency,recovery_time_s,0.0,0.0,0.0
