delay_through_s,delay_we_s,avg_q_A_NS,max_q_A_NS,avg_q_B_NS,max_q_B_NS,avg_q_A_WE,max_q_A_WE,avg_q_B_WE,max_q_B_WE,throughput_north_vph,avg_link_occupancy,blocking_frequency,preemption_count,recovery_time_s,served_A_NS,served_B_NS,served_A_WE,served_B_WE,served_WE_total,lambda_A_NS,lambda_B_NS,lambda_A_WE,lambda_B_WE,lambda_WE_total,util_A_NS,util_B_NS,util_A_WE,util_B_WE,rho_A_NS,rho_B_NS,rho_A_WE,rho_B_WE,scenario,replication
98.3544600570258,22.572953847069883,19.722817404823708,71.0,4.488613756678561,21.0,2.345835979473222,13.0,2.570651720099787,14.0,493.7142857142857,4.395858010623186,0.0,0.0,0.0,1593,1129,685,687,1372,0.25285714285714284,0.1792063492063492,0.10873015873015873,0.10904761904761905,0.21777777777777776,0.5038772641773261,0.34945136211723093,0.1991847046185989,0.22091164870054536,0.5057142857142857,0.3584126984126984,0.21746031746031746,0.2180952380952381,Uncoordinated_NoEmergency,1
109.03065185599903,22.363566649289847,22.195596311656978,60.0,4.2651014233636735,17.0,2.188900586770318,13.0,2.827606165951585,15.0,498.2857142857143,4.315168924842076,0.0,0.0,0.0,1584,1117,668,744,1412,0.25142857142857145,0.1773015873015873,0.10603174603174603,0.1180952380952381,0.22412698412698412,0.5065589431061763,0.34887385069474847,0.20998996666968495,0.2335295949762204,0.5028571428571429,0.3546031746031746,0.21206349206349207,0.2361904761904762,Uncoordinated_NoEmergency,2
230.31983680741874,20.90624866016876,53.052140129100856,125.0,4.721977124932448,22.0,2.340164795091387,11.0,2.199406293204615,12.0,488.0,4.238658395958299,0.0,0.0,0.0,1589,1097,696,669,1365,0.25222222222222224,0.17412698412698413,0.11047619047619048,0.1061904761904762,0.21666666666666667,0.5155560388196077,0.3536929252255464,0.2269803039971791,0.21579260586370316,0.5044444444444445,0.34825396825396826,0.22095238095238096,0.2123809523809524,Uncoordinated_NoEmergency,3
105.46127499930074,21.94863912878145,20.379628905573693,47.0,4.704870381526732,20.0,2.4249743306229528,14.0,2.480821381412452,13.0,525.7142857142857,4.5488075495719125,0.0,0.0,0.0,1635,1173,701,707,1408,0.25952380952380955,0.18619047619047618,0.11126984126984127,0.11222222222222222,0.2234920634920635,0.4952190504457526,0.36631707583014983,0.2252959225918265,0.22381968136509584,0.5190476190476191,0.37238095238095237,0.22253968253968254,0.22444444444444445,Uncoordinated_NoEmergency,4
79.00625645900071,22.8339033997659,14.288297403189384,49.0,4.684703508635076,18.0,2.372184471612362,12.0,2.680880033535507,11.0,510.85714285714283,4.470579531216368,0.0,0.0,0.0,1617,1142,681,709,1390,0.25666666666666665,0.18126984126984128,0.10809523809523809,0.11253968253968254,0.22063492063492063,0.48666801474144955,0.35684928880905153,0.22732553421498652,0.24532812132453335,0.5133333333333333,0.36253968253968255,0.21619047619047618,0.22507936507936507,Uncoordinated_NoEmergency,5
173.02487151300815,22.02637370717295,36.98606057141226,72.0,4.841316534361994,19.0,2.512126032902395,11.0,2.5060554621344795,14.0,486.85714285714283,4.305143883781295,0.0,0.0,0.0,1588,1109,706,728,1434,0.25206349206349205,0.17603174603174604,0.11206349206349206,0.11555555555555555,0.2276190476190476,0.5226414371365624,0.36842859531388406,0.2351661426510586,0.2368441817290073,0.5041269841269841,0.3520634920634921,0.22412698412698412,0.2311111111111111,Uncoordinated_NoEmergency,6
162.80874781171335,20.6958954693609,33.08801279558201,63.0,5.235950160842237,19.0,2.3366797590556083,13.0,2.1572861142913293,12.0,492.0,4.413846390698935,0.0,0.0,0.0,1582,1130,693,675,1368,0.2511111111111111,0.17936507936507937,0.11,0.10714285714285714,0.21714285714285714,0.5173447463414984,0.36051167766365416,0.22588501013287654,0.2115570746101049,0.5022222222222222,0.35873015873015873,0.22,0.21428571428571427,Uncoordinated_NoEmergency,7
131.07601526145675,21.475972590029347,28.25762876072667,72.0,4.409534986625811,18.0,2.3886547005673013,11.0,2.31648772870079,12.0,484.57142857142856,4.277596827641583,0.0,0.0,0.0,1579,1099,706,674,1380,0.25063492063492065,0.17444444444444446,0.11206349206349206,0.10698412698412699,0.21904761904761905,0.5060636460677843,0.34450212617807047,0.2245541678507936,0.21340574344255633,0.5012698412698413,0.3488888888888889,0.22412698412698412,0.21396825396825397,Uncoordinated_NoEmergency,8
145.8724613551933,21.22364277577975,30.946582381418317,59.0,4.7517931020748385,19.0,2.3927697309362075,12.0,2.2505899336953994,13.0,508.57142857142856,4.409489502021241,0.0,0.0,0.0,1604,1139,683,685,1368,0.2546031746031746,0.18079365079365078,0.10841269841269842,0.10873015873015873,0.21714285714285714,0.5191210824534522,0.3617877671711947,0.2128416905812864,0.20688057482656472,0.5092063492063492,0.36158730158730157,0.21682539682539684,0.21746031746031746,Uncoordinated_NoEmergency,9
166.74390480352935,21.517375790800987,35.12138436451748,71.0,4.848145983176192,20.0,2.3742423633290777,13.0,2.390372948708638,11.0,501.14285714285717,4.333461179026454,0.0,0.0,0.0,1612,1118,699,694,1393,0.25587301587301586,0.17746031746031746,0.11095238095238096,0.11015873015873016,0.22111111111111112,0.5169042046648503,0.36496977303595945,0.22791208535093818,0.20083777336623276,0.5117460317460317,0.3549206349206349,0.2219047619047619,0.22031746031746033,Uncoordinated_NoEmergency,10
