server,clients,requests_each,established,completed,requests_completed,elapsed_s,rps,avg_ms_per_req,peak_rss_kb
threadserv,50,2,50,50,100,0.004,27225.0,0.04,1536
epollserv,50,2,50,50,100,0.001,100242.0,0.01,1536
