server,clients,hold_seconds,established,failed,peak_rss_kb,peak_vmsize_kb,peak_rss_mb,peak_vmsize_mb
threadserv,50,1,50,0,1536,412484,1.5,402.81640625
epollserv,50,1,50,0,1536,2684,1.5,2.62109375
