threshold,TPR,FPR
0.99,0.17073170731707318,0.0
1.0,0.0,0.0
0.98,0.21951219512195122,0.02040816326530612
0.95,0.2682926829268293,0.02040816326530612
0.94,0.2926829268292683,0.02040816326530612
0.93,0.2926829268292683,0.02040816326530612
0.97,0.24390243902439024,0.02040816326530612
0.96,0.24390243902439024,0.02040816326530612
0.91,0.36585365853658536,0.04081632653061224
0.78,0.5853658536585366,0.04081632653061224
0.77,0.6097560975609756,0.04081632653061224
0.88,0.4146341463414634,0.04081632653061224
0.79,0.5853658536585366,0.04081632653061224
0.81,0.5365853658536586,0.04081632653061224
0.82,0.5121951219512195,0.04081632653061224
0.83,0.4878048780487805,0.04081632653061224
0.87,0.4634146341463415,0.04081632653061224
0.86,0.4878048780487805,0.04081632653061224
0.85,0.4878048780487805,0.04081632653061224
0.8,0.5365853658536586,0.04081632653061224
0.84,0.4878048780487805,0.04081632653061224
0.92,0.3170731707317073,0.04081632653061224
0.9,0.3902439024390244,0.04081632653061224
0.89,0.3902439024390244,0.04081632653061224
0.75,0.6097560975609756,0.061224489795918366
0.72,0.6341463414634146,0.061224489795918366
0.74,0.6097560975609756,0.061224489795918366
0.7,0.6585365853658537,0.061224489795918366
0.73,0.6341463414634146,0.061224489795918366
0.71,0.6585365853658537,0.061224489795918366
0.76,0.6097560975609756,0.061224489795918366
0.67,0.6829268292682927,0.08163265306122448
0.69,0.6585365853658537,0.08163265306122448
0.68,0.6585365853658537,0.08163265306122448
0.66,0.6829268292682927,0.08163265306122448
0.6,0.7073170731707317,0.12244897959183673
0.55,0.7073170731707317,0.12244897959183673
0.61,0.7073170731707317,0.12244897959183673
0.62,0.7073170731707317,0.12244897959183673
0.63,0.7073170731707317,0.12244897959183673
0.59,0.7073170731707317,0.12244897959183673
0.58,0.7073170731707317,0.12244897959183673
0.57,0.7073170731707317,0.12244897959183673
0.56,0.7073170731707317,0.12244897959183673
0.64,0.6829268292682927,0.12244897959183673
0.54,0.7073170731707317,0.12244897959183673
0.53,0.7073170731707317,0.12244897959183673
0.52,0.7073170731707317,0.12244897959183673
0.65,0.6829268292682927,0.12244897959183673
0.51,0.7073170731707317,0.14285714285714285
0.5,0.7073170731707317,0.14285714285714285
0.45,0.7073170731707317,0.16326530612244897
0.48,0.7073170731707317,0.16326530612244897
0.49,0.7073170731707317,0.16326530612244897
0.41,0.7073170731707317,0.16326530612244897
0.4,0.7073170731707317,0.16326530612244897
0.43,0.7073170731707317,0.16326530612244897
0.42,0.7073170731707317,0.16326530612244897
0.46,0.7073170731707317,0.16326530612244897
0.44,0.7073170731707317,0.16326530612244897
0.47,0.7073170731707317,0.16326530612244897
0.39,0.7073170731707317,0.1836734693877551
0.35,0.7317073170731707,0.20408163265306123
0.38,0.7317073170731707,0.20408163265306123
0.37,0.7317073170731707,0.20408163265306123
0.36,0.7317073170731707,0.20408163265306123
0.34,0.7317073170731707,0.20408163265306123
0.29,0.7317073170731707,0.22448979591836735
0.3,0.7317073170731707,0.22448979591836735
0.33,0.7317073170731707,0.22448979591836735
0.31,0.7317073170731707,0.22448979591836735
0.32,0.7317073170731707,0.22448979591836735
0.28,0.7317073170731707,0.24489795918367346
0.26,0.7560975609756098,0.24489795918367346
0.25,0.7560975609756098,0.24489795918367346
0.27,0.7317073170731707,0.24489795918367346
0.24,0.7560975609756098,0.24489795918367346
0.21,0.7804878048780488,0.2653061224489796
0.23,0.7560975609756098,0.2653061224489796
0.22,0.7560975609756098,0.2653061224489796
0.2,0.8536585365853658,0.2857142857142857
0.19,0.9024390243902439,0.30612244897959184
0.18,0.926829268292683,0.3469387755102041
0.13,0.975609756097561,0.3877551020408163
0.15,0.975609756097561,0.3877551020408163
0.17,0.9512195121951219,0.3877551020408163
0.16,0.9512195121951219,0.3877551020408163
0.14,0.975609756097561,0.3877551020408163
0.11,0.975609756097561,0.42857142857142855
0.12,0.975609756097561,0.42857142857142855
0.1,0.975609756097561,0.46938775510204084
0.09,0.975609756097561,0.5714285714285714
0.08,0.975609756097561,0.5714285714285714
0.07,0.975609756097561,0.6122448979591837
0.06,0.975609756097561,0.673469387755102
0.05,0.975609756097561,0.7142857142857143
0.04,0.975609756097561,0.7346938775510204
0.03,1.0,0.8163265306122449
0.02,1.0,0.8367346938775511
0.01,1.0,0.8979591836734694
0.0,1.0,1.0
