threshold,Precision,Recall
1.0,0.0,0.0
0.99,1.0,0.17073170731707318
0.98,0.9,0.21951219512195122
0.97,0.9090909090909091,0.24390243902439024
0.96,0.9090909090909091,0.24390243902439024
0.95,0.9166666666666666,0.2682926829268293
0.93,0.9230769230769231,0.2926829268292683
0.94,0.9230769230769231,0.2926829268292683
0.92,0.8666666666666667,0.3170731707317073
0.91,0.8823529411764706,0.36585365853658536
0.89,0.8888888888888888,0.3902439024390244
0.9,0.8888888888888888,0.3902439024390244
0.88,0.8947368421052632,0.4146341463414634
0.87,0.9047619047619048,0.4634146341463415
0.84,0.9090909090909091,0.4878048780487805
0.85,0.9090909090909091,0.4878048780487805
0.83,0.9090909090909091,0.4878048780487805
0.86,0.9090909090909091,0.4878048780487805
0.82,0.9130434782608695,0.5121951219512195
0.8,0.9166666666666666,0.5365853658536586
0.81,0.9166666666666666,0.5365853658536586
0.78,0.9230769230769231,0.5853658536585366
0.79,0.9230769230769231,0.5853658536585366
0.75,0.8928571428571429,0.6097560975609756
0.76,0.8928571428571429,0.6097560975609756
0.74,0.8928571428571429,0.6097560975609756
0.77,0.9259259259259259,0.6097560975609756
0.72,0.896551724137931,0.6341463414634146
0.73,0.896551724137931,0.6341463414634146
0.7,0.9,0.6585365853658537
0.71,0.9,0.6585365853658537
0.69,0.8709677419354839,0.6585365853658537
0.68,0.8709677419354839,0.6585365853658537
0.67,0.875,0.6829268292682927
0.65,0.8235294117647058,0.6829268292682927
0.66,0.875,0.6829268292682927
0.64,0.8235294117647058,0.6829268292682927
0.48,0.7837837837837838,0.7073170731707317
0.5,0.8055555555555556,0.7073170731707317
0.49,0.7837837837837838,0.7073170731707317
0.55,0.8285714285714286,0.7073170731707317
0.62,0.8285714285714286,0.7073170731707317
0.61,0.8285714285714286,0.7073170731707317
0.51,0.8055555555555556,0.7073170731707317
0.52,0.8285714285714286,0.7073170731707317
0.53,0.8285714285714286,0.7073170731707317
0.54,0.8285714285714286,0.7073170731707317
0.63,0.8285714285714286,0.7073170731707317
0.4,0.7837837837837838,0.7073170731707317
0.41,0.7837837837837838,0.7073170731707317
0.42,0.7837837837837838,0.7073170731707317
0.43,0.7837837837837838,0.7073170731707317
0.44,0.7837837837837838,0.7073170731707317
0.45,0.7837837837837838,0.7073170731707317
0.46,0.7837837837837838,0.7073170731707317
0.47,0.7837837837837838,0.7073170731707317
0.39,0.7631578947368421,0.7073170731707317
0.58,0.8285714285714286,0.7073170731707317
0.57,0.8285714285714286,0.7073170731707317
0.6,0.8285714285714286,0.7073170731707317
0.59,0.8285714285714286,0.7073170731707317
0.56,0.8285714285714286,0.7073170731707317
0.29,0.7317073170731707,0.7317073170731707
0.31,0.7317073170731707,0.7317073170731707
0.27,0.7142857142857143,0.7317073170731707
0.35,0.75,0.7317073170731707
0.34,0.75,0.7317073170731707
0.28,0.7142857142857143,0.7317073170731707
0.3,0.7317073170731707,0.7317073170731707
0.38,0.75,0.7317073170731707
0.36,0.75,0.7317073170731707
0.37,0.75,0.7317073170731707
0.32,0.7317073170731707,0.7317073170731707
0.33,0.7317073170731707,0.7317073170731707
0.26,0.7209302325581395,0.7560975609756098
0.23,0.7045454545454546,0.7560975609756098
0.22,0.7045454545454546,0.7560975609756098
0.24,0.7209302325581395,0.7560975609756098
0.25,0.7209302325581395,0.7560975609756098
0.21,0.7111111111111111,0.7804878048780488
0.2,0.7142857142857143,0.8536585365853658
0.19,0.7115384615384616,0.9024390243902439
0.18,0.6909090909090909,0.926829268292683
0.17,0.6724137931034483,0.9512195121951219
0.16,0.6724137931034483,0.9512195121951219
0.09,0.5882352941176471,0.975609756097561
0.1,0.6349206349206349,0.975609756097561
0.11,0.6557377049180327,0.975609756097561
0.04,0.5263157894736842,0.975609756097561
0.05,0.5333333333333333,0.975609756097561
0.06,0.547945205479452,0.975609756097561
0.07,0.5714285714285714,0.975609756097561
0.15,0.6779661016949152,0.975609756097561
0.14,0.6779661016949152,0.975609756097561
0.13,0.6779661016949152,0.975609756097561
0.12,0.6557377049180327,0.975609756097561
0.08,0.5882352941176471,0.975609756097561
0.02,0.5,1.0
0.01,0.4823529411764706,1.0
0.0,0.45555555555555555,1.0
0.03,0.5061728395061729,1.0
