threshold,Sensitivity,Specificity,J
0.0,1.0,0.0,0.0
0.01,1.0,0.10204081632653061,0.1020408163265305
0.02,1.0,0.16326530612244897,0.16326530612244894
0.03,1.0,0.1836734693877551,0.18367346938775508
0.04,0.975609756097561,0.2653061224489796,0.24091587854654062
0.05,0.975609756097561,0.2857142857142857,0.26132404181184654
0.06,0.975609756097561,0.32653061224489793,0.30214036834245883
0.07,0.975609756097561,0.3877551020408163,0.36336485813837727
0.08,0.975609756097561,0.42857142857142855,0.40418118466898956
0.09,0.975609756097561,0.42857142857142855,0.40418118466898956
0.1,0.975609756097561,0.5306122448979592,0.5062220009955203
0.11,0.975609756097561,0.5714285714285714,0.5470383275261324
0.12,0.975609756097561,0.5714285714285714,0.5470383275261324
0.13,0.975609756097561,0.6122448979591837,0.5878546540567446
0.14,0.975609756097561,0.6122448979591837,0.5878546540567446
0.15,0.975609756097561,0.6122448979591837,0.5878546540567446
0.16,0.9512195121951219,0.6122448979591837,0.5634644101543056
0.17,0.9512195121951219,0.6122448979591837,0.5634644101543056
0.18,0.926829268292683,0.6530612244897959,0.5798904927824788
0.19,0.9024390243902439,0.6938775510204082,0.5963165754106521
0.2,0.8536585365853658,0.7142857142857143,0.5679442508710801
0.21,0.7804878048780488,0.7346938775510204,0.5151816824290694
0.22,0.7560975609756098,0.7346938775510204,0.4907914385266303
0.23,0.7560975609756098,0.7346938775510204,0.4907914385266303
0.24,0.7560975609756098,0.7551020408163265,0.5111996017919362
0.25,0.7560975609756098,0.7551020408163265,0.5111996017919362
0.26,0.7560975609756098,0.7551020408163265,0.5111996017919362
0.27,0.7317073170731707,0.7551020408163265,0.4868093578894972
0.28,0.7317073170731707,0.7551020408163265,0.4868093578894972
0.29,0.7317073170731707,0.7755102040816326,0.5072175211548033
0.3,0.7317073170731707,0.7755102040816326,0.5072175211548033
0.31,0.7317073170731707,0.7755102040816326,0.5072175211548033
0.32,0.7317073170731707,0.7755102040816326,0.5072175211548033
0.33,0.7317073170731707,0.7755102040816326,0.5072175211548033
0.34,0.7317073170731707,0.7959183673469388,0.5276256844201095
0.35,0.7317073170731707,0.7959183673469388,0.5276256844201095
0.36,0.7317073170731707,0.7959183673469388,0.5276256844201095
0.37,0.7317073170731707,0.7959183673469388,0.5276256844201095
0.38,0.7317073170731707,0.7959183673469388,0.5276256844201095
0.39,0.7073170731707317,0.8163265306122449,0.5236436037829766
0.4,0.7073170731707317,0.8367346938775511,0.5440517670482827
0.41,0.7073170731707317,0.8367346938775511,0.5440517670482827
