scenario,replication,kpi,value
cancel_0.20_base,8,throughput,1720.0666666666666
cancel_0.20_base,9,avg_journey_time,4236.955820868729
cancel_0.20_base,9,loss_rate,0.03944641799881587
cancel_0.20_base,9,left_behind_rate,0.25151716992303136
cancel_0.20_base,9,throughput,1692.8
cancel_0.20_base,10,avg_journey_time,3947.7440919027117
cancel_0.20_base,10,loss_rate,0.009233475010992233
cancel_0.20_base,10,left_behind_rate,0.3015535688113733
cancel_0.20_base,10,throughput,1759.1333333333334
cancel_0.20_base,11,avg_journey_time,3996.9221643478227
cancel_0.20_base,11,loss_rate,0.038655027003033214
cancel_0.20_base,11,left_behind_rate,0.35588518162314126
cancel_0.20_base,11,throughput,1701.4
cancel_0.20_base,12,avg_journey_time,3900.319091044919
cancel_0.20_base,12,loss_rate,0.012921883007540816
cancel_0.20_base,12,left_behind_rate,0.3547477853429973
cancel_0.20_base,12,throughput,1746.2666666666667
cancel_0.20_base,13,avg_journey_time,4434.447474878019
cancel_0.20_base,13,loss_rate,0.06640394814378314
cancel_0.20_base,13,left_behind_rate,0.4270771950500884
cancel_0.20_base,13,throughput,1651.5333333333333
cancel_0.20_base,14,avg_journey_time,4424.369669505269
cancel_0.20_base,14,loss_rate,0.06058488136840169
cancel_0.20_base,14,left_behind_rate,0.39073018208570903
cancel_0.20_base,14,throughput,1657.9333333333334
cancel_0.20_base,15,avg_journey_time,4339.328080036362
cancel_0.20_base,15,loss_rate,0.053441829777875524
cancel_0.20_base,15,left_behind_rate,0.39689172348068325
cancel_0.20_base,15,throughput,1687.6666666666667
cancel_0.20_base,16,avg_journey_time,4106.229076904102
cancel_0.20_base,16,loss_rate,0.03542484139499065
cancel_0.20_base,16,left_behind_rate,0.3795885437676482
cancel_0.20_base,16,throughput,1710.6
cancel_0.20_base,17,avg_journey_time,3972.5751281840726
cancel_0.20_base,17,loss_rate,0.019269516796717588
cancel_0.20_base,17,left_behind_rate,0.3605158075979045
cancel_0.20_base,17,throughput,1749.7333333333333
cancel_0.20_base,18,avg_journey_time,3656.933475789348
cancel_0.20_base,18,loss_rate,0.025112732338600285
cancel_0.20_base,18,left_behind_rate,0.3425596656523811
cancel_0.20_base,18,throughput,1738.0666666666666
cancel_0.20_base,19,avg_journey_time,3553.5914585166
cancel_0.20_base,19,loss_rate,0.03992773927149388
cancel_0.20_base,19,left_behind_rate,0.3368603450818463
cancel_0.20_base,19,throughput,1698.0666666666666
cancel_0.20_base,20,avg_journey_time,3175.948769811935
cancel_0.20_base,20,loss_rate,0.0
cancel_0.20_base,20,left_behind_rate,0.24502371438174553
cancel_0.20_base,20,throughput,1743.8
cancel_0.30,1,avg_journey_time,4992.988822186632
cancel_0.30,1,loss_rate,0.11041535440364593
cancel_0.30,1,left_behind_rate,0.3504020156359999
cancel_0.30,1,throughput,1531.6666666666667
cancel_0.30,2,avg_journey_time,4479.607408623337
cancel_0.30,2,loss_rate,0.07864958733241215
