lambda,train_loss,val_loss,train_acc,val_acc,num_nonzero_weights,avg_|w|,iterations,ok
0.01,0.4564165173574977,0.4732193377884553,0.8,0.7,7,0.4641524242249368,644,True
0.1,0.6040336772308861,0.6783769660436614,0.72,0.6,4,0.10423677866012117,73,True
1.0,0.6924060721895705,0.6935717387940936,0.52,0.5,0,0.0,51,True
10.0,0.6924060721895705,0.6935717387940936,0.52,0.5,0,0.0,51,True
50.0,0.6924060721895705,0.6935717387940936,0.52,0.5,0,0.0,51,True
