scenario,replication,kpi,value
S1,7,loss_rate,0.0
S1,7,left_behind_rate,0.10531415368562272
S1,7,throughput,1760.9333333333334
S1,7,load_factor_L1,0.37292763157894737
S1,7,load_factor_L2,0.5450862068965517
S1,7,load_factor_L3,0.44275862068965516
S1,7,load_factor_L4,0.531578947368421
S1,7,avg_wait_kadikoy,952.0396935066194
S1,7,avg_wait_uskudar,1123.4849728810277
S1,7,avg_wait_eminonu,502.30890363385384
S1,7,avg_wait_besiktas,877.0187492118494
S1,7,berth_util_kadikoy,0.14888888888888888
S1,7,berth_util_eminonu,0.14888888888888888
S1,7,missed_conn_rate,0.0
S1,7,total_pax_served,26414.0
S1,8,avg_journey_time,2407.7786609686796
S1,8,avg_jt_eminonu,1889.0825561485926
S1,8,avg_jt_besiktas,3517.8372080494805
S1,8,avg_jt_kadikoy,2105.2459464648755
S1,8,avg_jt_uskudar,2194.123507763251
S1,8,loss_rate,0.0
S1,8,left_behind_rate,0.12265592961264586
S1,8,throughput,1757.0666666666666
S1,8,load_factor_L1,0.37006578947368424
S1,8,load_factor_L2,0.5524137931034483
S1,8,load_factor_L3,0.43948275862068964
S1,8,load_factor_L4,0.531578947368421
S1,8,avg_wait_kadikoy,1039.2757502636116
S1,8,avg_wait_uskudar,1133.2987491651807
S1,8,avg_wait_eminonu,503.99661039623936
S1,8,avg_wait_besiktas,885.0812861957227
S1,8,berth_util_kadikoy,0.14888888888888888
S1,8,berth_util_eminonu,0.14888888888888888
S1,8,missed_conn_rate,0.0
S1,8,total_pax_served,26356.0
S1,9,avg_journey_time,2385.596018945827
S1,9,avg_jt_eminonu,1891.3796816352676
S1,9,avg_jt_besiktas,3453.9596729785662
S1,9,avg_jt_kadikoy,2110.8063806250298
S1,9,avg_jt_uskudar,2181.447212369803
S1,9,loss_rate,0.0
S1,9,left_behind_rate,0.11515689757252812
S1,9,throughput,1771.0666666666666
S1,9,load_factor_L1,0.37332236842105265
S1,9,load_factor_L2,0.5531034482758621
S1,9,load_factor_L3,0.4460344827586207
S1,9,load_factor_L4,0.5367105263157895
S1,9,avg_wait_kadikoy,1017.5932834695171
S1,9,avg_wait_uskudar,1083.9245741203335
S1,9,avg_wait_eminonu,495.7910038117064
S1,9,avg_wait_besiktas,871.3054436291438
S1,9,berth_util_kadikoy,0.14888888888888888
S1,9,berth_util_eminonu,0.14888888888888888
S1,9,missed_conn_rate,0.0
S1,9,total_pax_served,26566.0
S1,10,avg_journey_time,2479.6290177133274
