scenario,kpi,mean,ci_lower,ci_upper,std
S1,avg_journey_time,2416.450793252215,2392.787296691522,2440.1142898129083,50.5614704178093
S1,avg_jt_besiktas,3555.1349343516204,3473.291120745858,3636.978747957383,174.87456048157483
S1,avg_jt_eminonu,1894.9861739711152,1892.9407039223497,1897.0316440198808,4.370527960477413
S1,avg_jt_kadikoy,2110.7234688928447,2107.005898706848,2114.4410390788416,7.9432815223777995
S1,avg_jt_uskudar,2184.953717901909,2177.06850999074,2192.838925813078,16.848216218438786
S1,avg_wait_besiktas,881.1318292825083,873.9587490779403,888.3049094870763,15.326622658558497
S1,avg_wait_eminonu,504.66963845818043,501.53890361831367,507.8003732980472,6.689398440586634
S1,avg_wait_kadikoy,1070.234022384828,1022.1089668509668,1118.3590779186893,102.82814990970583
S1,avg_wait_uskudar,1107.3613823992023,1070.7510124327023,1143.9717523657023,78.22487827606274
S1,berth_util_eminonu,0.14888888888888888,0.14888888888888888,0.14888888888888888,2.8476619731297836e-17
S1,berth_util_kadikoy,0.14888888888888888,0.14888888888888888,0.14888888888888888,2.8476619731297836e-17
S1,left_behind_rate,0.12325955120301746,0.11630608657479957,0.13021301583123535,0.01485737305132329
S1,load_factor_L1,0.37593585526315787,0.3741121444491838,0.37775956607713196,0.003896698027482482
S1,load_factor_L2,0.5546551724137931,0.551369245087353,0.5579410997402333,0.007020996110391078
S1,load_factor_L3,0.44397413793103446,0.4413979054987745,0.4465503703632944,0.00550460070763516
S1,load_factor_L4,0.5338618421052631,0.5314336775383214,0.5362900066722048,0.0051882261189130025
S1,loss_rate,0.0,0.0,0.0,0.0
S1,missed_conn_rate,0.0,0.0,0.0,0.0
S1,throughput,1774.61,1768.7525385353497,1780.4674614646501,12.515558037197401
S1,total_pax_served,26619.15,26531.288078030248,26707.011921969755,187.73337055796082
S2,avg_journey_time,1832.2019752646927,1830.73829923775,1833.6656512916354,3.1274166075881733
S2,avg_jt_besiktas,2147.223555002665,2144.156267828495,2150.2908421768348,6.553830678485665
S2,avg_jt_eminonu,1639.161722406146,1637.4792406335794,1640.8442041787127,3.5949358605540183
S2,avg_jt_kadikoy,1850.2510747216827,1847.8740807691377,1852.6280686742277,5.078890564911167
S2,avg_jt_uskudar,1789.4836957781376,1783.5276023002957,1795.4397892559796,12.726303714804658
S2,avg_wait_besiktas,508.4814486472907,504.4875975327142,512.4752997618672,8.533607215014177
S2,avg_wait_eminonu,255.6920713882931,254.09463460468857,257.28950817189764,3.4132213923408
S2,avg_wait_kadikoy,280.46281153696407,279.0608614645571,281.86476160937104,2.995527602247818
S2,avg_wait_uskudar,548.0133501133032,544.0057244255586,552.0209758010478,8.56303915766785
S2,berth_util_eminonu,0.22000000000000003,0.22000000000000003,0.22000000000000003,2.8476619731297836e-17
S2,berth_util_kadikoy,0.22000000000000003,0.22000000000000003,0.22000000000000003,2.8476619731297836e-17
S2,left_behind_rate,0.001574883976417711,0.0014387617802937948,0.0017110061725416272,0.00029085044024977543
S2,load_factor_L1,0.250702850877193,0.24948371482203713,0.2519219869323489,0.00260491138450099
S2,load_factor_L2,0.37848529411764703,0.37625060102877883,0.38071998720651523,0.004774838249955685
S2,load_factor_L3,0.3017235294117647,0.2999304415958375,0.30351661722769196,0.0038312662851412225
S2,load_factor_L4,0.349875,0.348192516961017,0.351557483038983,0.0035949385664885893
S2,loss_rate,0.0,0.0,0.0,0.0
S2,missed_conn_rate,0.0,0.0,0.0,0.0
S2,throughput,1778.1233333333334,1772.2846473749942,1783.9620192916727,12.475440668891856
S2,total_pax_served,26671.85,26584.269710624907,26759.43028937509,187.13161003337785
S3,avg_journey_time,2189.440405384389,2185.902229856609,2192.978580912169,7.5599714024522084
S3,avg_jt_besiktas,2658.5472640028706,2651.410993917824,2665.6835340879175,15.24797097813229
S3,avg_jt_eminonu,1931.9925875720933,1927.119642251753,1936.8655328924335,10.411955816844214
S3,avg_jt_kadikoy,2110.8214501729603,2107.122714249158,2114.5201860967627,7.9030386111776005
S3,avg_jt_uskudar,2184.8981626905884,2176.9996422364106,2192.796683144766,16.876660947552004
S3,avg_wait_besiktas,880.4148009090422,873.1548848329151,887.6747169851694,15.512163681195622
S3,avg_wait_eminonu,491.08605869121493,487.9422464529563,494.2298709294736,6.717340739402829
S3,avg_wait_kadikoy,610.8907170044598,604.5877273856667,617.193706623253,13.467511968782077
S3,avg_wait_uskudar,975.0428418799784,968.0970543823302,981.9886293776266,14.840969431123055
S3,berth_util_eminonu,0.2822222222222222,0.2822222222222222,0.2822222222222222,5.695323946259567e-17
S3,berth_util_kadikoy,0.14888888888888888,0.14888888888888888,0.14888888888888888,2.8476619731297836e-17
S3,left_behind_rate,0.030172257638849308,0.027788603984099436,0.03255591129359918,0.00509312025979853
S3,load_factor_L1,0.3839671052631579,0.3820554910464462,0.3858787194798696,0.004084520029431442
S3,load_factor_L2,0.5336077586206897,0.5307299458105054,0.5364855714308739,0.006148983388694222
S3,load_factor_L3,0.45011206896551725,0.44740968744794785,0.45281445048308666,0.005774141738004348
S3,load_factor_L4,0.5244934210526316,0.522334503863313,0.5266523382419502,0.004612928918693898
S3,loss_rate,0.0,0.0,0.0,0.0
S3,missed_conn_rate,0.0014645649067115069,0.00042797115680435647,0.0025011586566186573,0.0022148757300844714
S3,throughput,1774.61,1768.7525385353497,1780.4674614646501,12.515558037197401
S3,total_pax_served,26619.15,26531.288078030248,26707.011921969755,187.73337055796082
S4,avg_journey_time,4017.806197534263,3854.3466085856494,4181.265786482877,349.26187471639406
S4,avg_jt_besiktas,7244.735636299038,6567.252258677354,7922.219013920721,1447.569494572322
S4,avg_jt_eminonu,3054.3970604199826,2752.0067140910514,3356.787406748914,646.113329504233
S4,avg_jt_kadikoy,2526.393115494597,2456.4294116651663,2596.356819324028,149.49049192367275
S4,avg_jt_uskudar,2842.150100467246,2658.759620529255,3025.540580405237,391.8479377090423
S4,avg_wait_besiktas,1531.2583321661796,1428.1748017456562,1634.341862586703,220.25717376772974
S4,avg_wait_eminonu,941.631780891182,862.4169638221528,1020.8465979602112,169.2572194314208
S4,avg_wait_kadikoy,3229.579234132031,2910.0548128792443,3549.103655384818,682.723473748009
S4,avg_wait_uskudar,3163.0459684002335,2712.7900214150523,3613.3019153854148,962.0557420812202
S4,berth_util_eminonu,0.11555555555555555,0.11221515964698164,0.11889595146412946,0.007137378387084143
S4,berth_util_kadikoy,0.12088888888888889,0.11809819015022223,0.12367958762755556,0.005962847939999439
S4,left_behind_rate,0.33148292866176343,0.30637042576051937,0.3565954315630075,0.05365754250652528
S4,load_factor_L1,0.4648022843543759,0.4555058738305313,0.47409869487822054,0.01986351359730809
S4,load_factor_L2,0.6751865390644036,0.6620975151486918,0.6882755629801155,0.02796713891435507
S4,load_factor_L3,0.5287818261084322,0.508030135691695,0.5495335165251694,0.04433985393638994
S4,load_factor_L4,0.6276689631691429,0.6069965142257268,0.648341412112559,0.044170539760908144
S4,loss_rate,0.03506872037932115,0.025276910390631326,0.04486053036801097,0.020922026878408623
S4,missed_conn_rate,0.0,0.0,0.0,0.0
S4,throughput,1699.8400000000001,1679.7370154028774,1719.9429845971229,42.95377305759113
S4,total_pax_served,25497.6,25196.055231043156,25799.14476895684,644.3065958638668
S5,avg_journey_time,2252.8338951068577,2208.164737663605,2297.50305255011,95.44397958529454
S5,avg_jt_besiktas,2790.3702535604634,2686.5021399235925,2894.2383671973344,221.9335820272578
S5,avg_jt_eminonu,2001.495642916839,1928.4877635977032,2074.5035222359747,155.99494018112114
